DATA,MODEL,BATCH_SIZE,LEARNING_RATE,EPOCHS,OPTIMIZER,LOSS,DROPOUT,ACTIVATION,VAL_SPLIT,train_runtime_sec,train_peak_memory_mb,loss,accuracy,precision,recall,macro_f1,inference_runtime_sec,inference_latency_ms_per_sample,inference_peak_memory_mb
cells,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,130.50244679301977,2072.67724609375,0.1351039122982842,96.40456007015491,96.89562495664892,95.83404237659774,96.33438673386144,0.6119321268051863,0.17887521976182003,719.54833984375
cells,GreenVGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,63.22557518444955,880.65283203125,0.10298779116901555,97.13534054370068,97.12114495644038,96.6587823418778,96.86133536170274,0.3097664788365364,0.09054851763710506,201.2841796875
chest,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,48.64553930051625,2068.11572265625,0.5426251827142178,88.14102564102564,91.3452938391119,84.44444444444444,86.38679245283018,0.10546192433685064,0.16900949412956834,714.10595703125
chest,GreenVGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,22.556187108159065,877.244140625,0.5863883059758407,91.34615384615384,93.3716305788776,88.71794871794872,90.3105590062112,0.0528244785964489,0.08465461313533477,196.125
lesions,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,76.0670668873936,2071.98291015625,0.7250492192265994,72.66832917705736,38.75803971353592,33.27829821670453,33.683525118494565,0.3712090142071247,0.18514165297113452,995.3994140625
lesions,GreenVGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,37.21405711770058,880.8984375,0.7422520507898117,74.81296758104739,50.63291043292525,41.49419595166319,43.335997453885625,0.17871291935443878,0.08913362561318643,200.84228515625
orgs,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,142.92623582482338,2068.5654296875,0.5222396442291218,89.56913339824733,87.99826518667058,88.46498174684368,88.04927955496366,1.3782631205394864,0.16775354436946038,715.6806640625
orgs,GreenVGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,68.95481166709214,876.15869140625,0.4093359485921516,92.00340798442063,91.07719224234849,90.47256218955691,90.63106709210892,0.5937043996527791,0.07226197658870243,196.28955078125
